y,x,number,type
4,0,1,nursery
4,0,All,miscellaneous
4,1,1,clinic
4,1,1,karaoke_box
4,1,1,skill school
4,1,2,residential
4,1,2,retail
4,1,All,apartments
4,2,1,barbershop
4,2,1,university
4,2,2,retail
4,2,3,restaurant
4,2,All,apartments
4,3,1,retail
4,3,3,restaurant
4,3,3,university
4,3,4,residential
4,3,All,apartments
4,4,1,office
4,4,1,retail
4,4,2,restaurant
4,4,All,residential
3,0,1,office
3,0,2,apartments
3,0,All,house
3,1,1,laboratory
3,1,1,restaurant
3,1,All,house
3,2,3,laboratory
3,2,All,apartments
3,3,1,hospital
3,3,All,laboratory
3,4,1,hospital
3,4,2,laboratory
3,4,All,residential
2,1,All,apartments
2,2,1,laboratory
2,2,2,restaurant
2,2,2,retail
2,2,All,apartments
2,3,3,office
2,3,All,apartments
2,4,1,hospital
2,4,1,university
2,4,All,apartments
1,0,3,retail
1,0,All,house
1,1,1,apartments
1,1,1,clinic
1,1,1,restaurant
1,1,1,retail
1,1,1,skill school
1,1,All,house
1,2,1,restaurant
1,2,1,retail
1,2,2,office
1,2,All,apartments
1,3,1,office
1,3,1,restaurant
1,3,1,retail
1,3,1,skill school
1,3,2,barbershop
1,3,All,apartments
1,4,1,restaurant
1,4,All,office
0,1,1,nursery
0,1,All,school